Date,Tag,Location,Lon,Lat,Release
5/8/2022,F1.8,Lemhi 5,,,1
5/1/2022,F1.9,Lem 1 Release,,,1
5/2/2022,F1.9,Lemhi 2,,,1
5/3/2022,F1.9,Lemhi 3,,,1
5/4/2022,F1.9,Lower HRSC,,,1
5/5/2022,F1.9,Lemhi 5,,,1
5/2/2022,F2.1,Lem 1 Release,,,2
5/3/2022,F2.1,Upper HRSC,,,2
5/4/2022,F2.1,Lemhi 3,,,2
5/5/2022,F2.1,Lemhi 4,,,2
5/6/2022,F2.1,Lemhi 5,,,2
5/2/2022,F2.11,Lem 1 Release,,,2
5/3/2022,F2.11,Lemhi 2,,,2
5/4/2022,F2.11,Lemhi 3,,,2
5/5/2022,F2.11,Lemhi 4,,,2
5/6/2022,F2.11,Lemhi 5,,,2
5/2/2022,F2.2,Lem 1 Release,,,2
5/3/2022,F2.2,Lemhi 2,,,2
5/4/2022,F2.2,Lemhi 3,,,2
5/5/2022,F2.2,Lower HRSC,,,2
5/6/2022,F2.2,Lemhi 5,,,2
5/2/2022,F2.3,Lem 1 Release,,,2
5/3/2022,F2.3,Upper HRSC,,,2
5/4/2022,F2.3,Lemhi 3,,,2
5/5/2022,F2.3,Lemhi 4,,,2
5/6/2022,F2.3,Lemhi 5,,,2
5/2/2022,F2.4,Lem 1 Release,,,2
5/3/2022,F2.4,Lemhi 2,,,2
5/4/2022,F2.4,Lemhi 3,,,2
5/5/2022,F2.4,Lower HRSC,,,2
5/9/2022,F2.4,Lemhi 5,,,2
5/2/2022,F2.5,Lem 1 Release,,,2
5/3/2022,F2.5,Lemhi 2,,,2
5/4/2022,F2.5,Lemhi 3,,,2
5/5/2022,F2.5,Lower HRSC,,,2
5/6/2022,F2.5,Lower HRSC,,,2
5/6/2022,F2.5,Lemhi 5,,,2
5/2/2022,F2.6,Lem 1 Release,,,2
5/3/2022,F2.6,Upper HRSC,,,2
5/4/2022,F2.6,Lemhi 3,,,2
5/5/2022,F2.6,Lower HRSC,,,2
5/6/2022,F2.6,Lower HRSC,,,2
5/7/2022,F2.6,Lemhi 5,,,2
5/2/2022,F2.7,Lem 1 Release,,,2
5/3/2022,F2.7,Lemhi 2,,,2
5/4/2022,F2.7,Lemhi 3,,,2
5/5/2022,F2.7,Lemhi 4,,,2
5/6/2022,F2.7,Lemhi 5,,,2
5/2/2022,F2.8,Lem 1 Release,,,2
5/3/2022,F2.8,Upper HRSC,,,2
5/4/2022,F2.8,Upper HRSC,,,2
5/5/2022,F2.8,Upper HRSC,,,2
5/6/2022,F2.8,Upper HRSC,,,2
5/7/2022,F2.8,Lemhi 3,,,2
5/8/2022,F2.8,Lower HRSC,,,2
5/9/2022,F2.8,Lower HRSC,,,2
5/10/2022,F2.8,Lower HRSC,,,2
5/11/2022,F2.8,Lemhi 5,,,2
5/2/2022,F2.9,Lem 1 Release,,,2
5/3/2022,F2.9,Lemhi 2,,,2
5/4/2022,F2.9,Lemhi 3,,,2
5/5/2022,F2.9,Lower HRSC,,,2
5/6/2022,F2.9,Lemhi 5,,,2
5/3/2022,F3.1,Lem 1 Release,,,3
5/4/2022,F3.1,Upper HRSC,,,3
5/5/2022,F3.1,Lemhi 3,,,3
5/6/2022,F3.1,Lemhi 4,,,3
5/7/2022,F3.1,Lemhi 5,,,3
5/3/2022,F3.11,Lem 1 Release,,,3
5/4/2022,F3.11,Lemhi 2,,,3
5/5/2022,F3.11,Lemhi 3,,,3
5/6/2022,F3.11,Lemhi 4,,,3
5/7/2022,F3.11,Lemhi 5,,,3
5/3/2022,F3.2,Lem 1 Release,,,3
5/4/2022,F3.2,Lemhi 2,,,3
5/5/2022,F3.2,Lemhi 3,,,3
5/6/2022,F3.2,Lower HRSC,,,3
5/7/2022,F3.2,Lemhi 5,,,3
5/3/2022,F3.3,Lem 1 Release,,,3
5/4/2022,F3.3,Lemhi 2,,,3
5/5/2022,F3.3,Lemhi 3,,,3
5/6/2022,F3.3,Lemhi 4,,,3
5/7/2022,F3.3,Lemhi 5,,,3
5/3/2022,F3.4,Lem 1 Release,,,3
5/4/2022,F3.4,Lemhi 2,,,3
5/5/2022,F3.4,Lemhi 3,,,3
5/6/2022,F3.4,Lemhi 4,,,3
5/7/2022,F3.4,Lemhi 5,,,3
5/3/2022,F3.5,Lem 1 Release,,,3
5/4/2022,F3.5,Lemhi 2,,,3
5/5/2022,F3.5,Lemhi 3,,,3
5/6/2022,F3.5,Lemhi 4,,,3
5/7/2022,F3.5,Lemhi 5,,,3
5/3/2022,F3.6,Lem 1 Release,,,3
5/4/2022,F3.6,Lemhi 2,,,3
5/5/2022,F3.6,Lemhi 3,,,3
5/6/2022,F3.6,Lemhi 4,,,3
5/7/2022,F3.6,Lemhi 5,,,3
5/3/2022,F3.7,Lem 1 Release,,,3
5/4/2022,F3.7,Lemhi 2,,,3
5/5/2022,F3.7,Lemhi 3,,,3
5/6/2022,F3.7,Lower HRSC,,,3
5/7/2022,F3.7,Lower HRSC,,,3
5/8/2022,F3.7,Lower HRSC,,,3
5/9/2022,F3.7,Lower HRSC,,,3
5/10/2022,F3.7,Lemhi 5,,,3
5/3/2022,F3.8,Lem 1 Release,,,3
5/4/2022,F3.8,Upper HRSC,,,3
5/5/2022,F3.8,Lemhi 3,,,3
5/6/2022,F3.8,Lower HRSC,,,3
5/7/2022,F3.8,Lemhi 5,,,3
5/3/2022,F3.9,Lem 1 Release,,,3
5/4/2022,F3.9,Lemhi 2,,,3
5/5/2022,F3.9,Lemhi 3,,,3
5/6/2022,F3.9,Lower HRSC,,,3
5/7/2022,F3.9,Lemhi 5,,,3
5/4/2022,F4.1,Lem 1 Release,,,4
5/5/2022,F4.1,Upper HRSC,,,4
5/6/2022,F4.1,Upper HRSC,,,4
5/7/2022,F4.1,Upper HRSC,,,4
5/8/2022,F4.1,Lemhi 3,,,4
5/9/2022,F4.1,Lemhi 4,,,4
5/10/2022,F4.1,Lemhi 5,,,4
5/4/2022,F4.11,Lem 1 Release,,,4
5/5/2022,F4.11,Lemhi 2,,,4
5/6/2022,F4.11,Lemhi 3,,,4
5/7/2022,F4.11,Lemhi 4,,,4
5/8/2022,F4.11,Lemhi 5,,,4
5/4/2022,F4.2,Lem 1 Release,,,4
5/5/2022,F4.2,Lemhi 2,,,4
5/6/2022,F4.2,Lemhi 3,,,4
5/7/2022,F4.2,Lower HRSC,,,4
5/8/2022,F4.2,Lemhi 5,,,4
5/4/2022,F4.3,Lem 1 Release,,,4
5/5/2022,F4.3,Upper HRSC,,,4
5/6/2022,F4.3,Upper HRSC,,,4
5/7/2022,F4.3,Lemhi 3,,,4
5/8/2022,F4.3,Lemhi 4,,,4
5/9/2022,F4.3,Lemhi 5,,,4
5/4/2022,F4.4,Lem 1 Release,,,4
5/5/2022,F4.4,Upper HRSC,,,4
5/6/2022,F4.4,Lemhi 3,,,4
5/7/2022,F4.4,Lower HRSC,,,4
5/8/2022,F4.4,Lemhi 5,,,4
5/4/2022,F4.5,Lem 1 Release,,,4
5/5/2022,F4.5,Upper HRSC,,,4
5/6/2022,F4.5,Lemhi 3,,,4
5/7/2022,F4.5,Lemhi 4,,,4
5/8/2022,F4.5,Lemhi 5,,,4
5/4/2022,F4.6,Lem 1 Release,,,4
5/5/2022,F4.6,Lemhi 2,,,4
5/6/2022,F4.6,Lemhi 3,,,4
5/7/2022,F4.6,Lemhi 4,,,4
5/8/2022,F4.6,Lemhi 5,,,4
5/4/2022,F4.7,Lem 1 Release,,,4
5/5/2022,F4.7,Lemhi 2,,,4
5/6/2022,F4.7,Lemhi 3,,,4
5/7/2022,F4.7,Lemhi 4,,,4
5/8/2022,F4.7,Lemhi 5,,,4
5/4/2022,F4.8,Lem 1 Release,,,4
5/5/2022,F4.8,Upper HRSC,,,4
5/6/2022,F4.8,Upper HRSC,,,4
5/7/2022,F4.8,Upper HRSC,,,4
5/8/2022,F4.8,Upper HRSC,,,4
5/9/2022,F4.8,Upper HRSC,,,4
5/10/2022,F4.8,Lemhi 3,,,4
5/11/2022,F4.8,Lemhi 4,,,4
5/12/2022,F4.8,Lemhi 5,,,4
5/4/2022,F4.9,Lem 1 Release,,,4
5/5/2022,F4.9,Lemhi 2,,,4
5/6/2022,F4.9,Lemhi 3,,,4
5/7/2022,F4.9,Lemhi 4,,,4
5/8/2022,F4.9,Lemhi 5,,,4
5/5/2022,F5.1,Lem 1 Release,,,5
5/6/2022,F5.1,Upper HRSC,,,5
5/7/2022,F5.1,Lemhi 3,,,5
5/8/2022,F5.1,Lemhi 4,,,5
5/9/2022,F5.1,Lemhi 5,,,5
5/5/2022,F5.11,Lem 1 Release,,,5
5/6/2022,F5.11,Lemhi 2,,,5
5/7/2022,F5.11,Lemhi 3,,,5
5/8/2022,F5.11,Lemhi 4,,,5
5/9/2022,F5.11,Lemhi 5,,,5
5/5/2022,F5.2,Lem 1 Release,,,5
5/6/2022,F5.2,Lemhi 2,,,5
5/7/2022,F5.2,Lemhi 3,,,5
5/8/2022,F5.2,Lower HRSC,,,5
5/9/2022,F5.2,Lower HRSC,,,5
5/10/2022,F5.2,Lower HRSC,,,5
5/11/2022,F5.2,Lemhi 5,,,5
5/5/2022,F5.3,Lem 1 Release,,,5
5/6/2022,F5.3,Lemhi 2,,,5
5/7/2022,F5.3,Lemhi 3,,,5
5/8/2022,F5.3,Lemhi 4,,,5
5/9/2022,F5.3,Lemhi 5,,,5
5/5/2022,F5.4,Lem 1 Release,,,5
5/6/2022,F5.4,Lemhi 2,,,5
5/7/2022,F5.4,Lemhi 3,,,5
5/8/2022,F5.4,Lower HRSC,,,5
5/9/2022,F5.4,Lemhi 5,,,5
5/5/2022,F5.5,Lem 1 Release,,,5
5/6/2022,F5.5,Lemhi 2,,,5
5/7/2022,F5.5,Lemhi 3,,,5
5/8/2022,F5.5,Lemhi 4,,,5
5/9/2022,F5.5,Lemhi 5,,,5
5/5/2022,F5.6,Lem 1 Release,,,5
5/6/2022,F5.6,Lemhi 2,,,5
5/7/2022,F5.6,Lemhi 3,,,5
5/8/2022,F5.6,Lower HRSC,,,5
5/9/2022,F5.6,Lemhi 5,,,5
5/5/2022,F5.7,Lem 1 Release,,,5
5/6/2022,F5.7,Lemhi 2,,,5
5/7/2022,F5.7,Lemhi 3,,,5
5/8/2022,F5.7,Lower HRSC,,,5
5/9/2022,F5.7,Lemhi 5,,,5
5/5/2022,F5.8,Lem 1 Release,,,5
5/6/2022,F5.8,Lemhi 2,,,5
5/7/2022,F5.8,Lemhi 3,,,5
5/8/2022,F5.8,Lower HRSC,,,5
5/9/2022,F5.8,Lemhi 5,,,5
5/5/2022,F5.9,Lem 1 Release,,,5
5/6/2022,F5.9,Lemhi 2,,,5
5/7/2022,F5.9,Lemhi 3,,,5
5/8/2022,F5.9,Lower HRSC,,,5
5/9/2022,F5.9,Lemhi 5,,,5
5/6/2022,F6.1,Lem 1 Release,,,6
5/7/2022,F6.1,Upper HRSC,,,6
5/8/2022,F6.1,Lemhi 3,,,6
5/9/2022,F6.1,Lemhi 4,,,6
5/10/2022,F6.1,Lemhi 5,,,6
5/6/2022,F6.11,Lem 1 Release,,,6
5/7/2022,F6.11,Lemhi 2,,,6
5/8/2022,F6.11,Lemhi 3,,,6
5/9/2022,F6.11,Lemhi 4,,,6
5/10/2022,F6.11,Lemhi 5,,,6
5/6/2022,F6.2,Lem 1 Release,,,6
5/7/2022,F6.2,Lemhi 2,,,6
5/8/2022,F6.2,Lemhi 3,,,6
5/9/2022,F6.2,Lower HRSC,,,6
5/10/2022,F6.2,Lemhi 5,,,6
5/6/2022,F6.3,Lem 1 Release,,,6
5/7/2022,F6.3,Lemhi 2,,,6
5/8/2022,F6.3,Lemhi 3,,,6
5/9/2022,F6.3,Lemhi 4,,,6
5/10/2022,F6.3,Lemhi 5,,,6
5/6/2022,F6.4,Lem 1 Release,,,6
5/7/2022,F6.4,Upper HRSC,,,6
5/8/2022,F6.4,Lemhi 3,,,6
5/9/2022,F6.4,Lower HRSC,,,6
5/10/2022,F6.4,Lemhi 5,,,6
5/6/2022,F6.5,Lem 1 Release,,,6
5/7/2022,F6.5,Upper HRSC,,,6
5/8/2022,F6.5,Lemhi 3,,,6
5/9/2022,F6.5,Lemhi 4,,,6
5/10/2022,F6.5,Lemhi 5,,,6
5/6/2022,F6.6,Lem 1 Release,,,6
5/7/2022,F6.6,Lemhi 2,,,6
5/8/2022,F6.6,Lemhi 3,,,6
5/9/2022,F6.6,Lower HRSC,,,6
5/10/2022,F6.6,Lemhi 5,,,6
5/6/2022,F6.7,Lem 1 Release,,,6
5/7/2022,F6.7,Lemhi 2,,,6
5/8/2022,F6.7,Lemhi 3,,,6
5/9/2022,F6.7,Lemhi 4,,,6
5/10/2022,F6.7,Lemhi 5,,,6
5/6/2022,F6.8,Lem 1 Release,,,6
5/7/2022,F6.8,Lemhi 2,,,6
5/8/2022,F6.8,Lemhi 3,,,6
5/9/2022,F6.8,Lemhi 4,,,6
5/10/2022,F6.8,Lemhi 5,,,6
5/6/2022,F6.9,Lem 1 Release,,,6
5/7/2022,F6.9,Lemhi 2,,,6
5/8/2022,F6.9,Lemhi 3,,,6
5/9/2022,F6.9,Lower HRSC,,,6
5/10/2022,F6.9,Lemhi 5,,,6
